LebwohlLasher9.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 0.754862 s
         1054548 function calls (1039762 primitive calls) in 1.471 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      394    0.000    0.000    0.001    0.000 enum.py:1509(__and__)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      733    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
      327    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       51    0.000    0.000    0.001    0.000 shape_base.py:223(vstack)
      392    0.000    0.000    0.001    0.000 __init__.py:178(sub)
     9149    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 helpers.py:648(make_html_tags)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1202(dataclass)
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1219(wrap)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:590(_makeTags)
      733    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
       12    0.000    0.000    0.001    0.000 _docstring.py:57(<listcomp>)
    24/12    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
        2    0.000    0.000    0.001    0.000 dataclasses.py:884(_process_class)
       32    0.000    0.000    0.001    0.000 colors.py:399(to_rgba_array)
       44    0.000    0.000    0.001    0.000 _base.py:67(__set_name__)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _base.py:547(_AxesBase)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
     27/7    0.000    0.000    0.001    0.000 core.py:4409(streamline)
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
      344    0.000    0.000    0.001    0.000 inspect.py:776(_findclass)
      188    0.000    0.000    0.001    0.000 _parser.py:94(closegroup)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
     2714    0.001    0.000    0.001    0.000 util.py:185(is_consecutive)
        1    0.000    0.000    0.001    0.001 core.py:400(ParserElement)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
        8    0.000    0.000    0.001    0.000 colors.py:1595(make_norm_from_scale)
     2338    0.000    0.000    0.001    0.000 _parser.py:172(append)
        1    0.000    0.000    0.001    0.001 __init__.py:454(StrFormatStyle)
       20    0.000    0.000    0.001    0.000 core.py:4956(parseImpl)
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
1867/1701    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      543    0.000    0.000    0.001    0.000 _compiler.py:396(_simple)
     5472    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       10    0.000    0.000    0.001    0.000 core.py:2791(_generateDefaultName)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      409    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
       23    0.000    0.000    0.001    0.000 overrides.py:221(decorator)
