LebwohlLasher5.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.348, Time: 0.554908 s
         9357738 function calls (8858687 primitive calls) in 3.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.000    0.000    0.033    0.001 codegen.py:1303(_scan_and_fix_unresolved_refs)
  312/203    0.000    0.000    0.033    0.000 consts.py:56(_do_infer)
     3374    0.002    0.000    0.033    0.000 module.py:251(_next)
    88768    0.023    0.000    0.033    0.000 targetconfig.py:111(getter)
      273    0.001    0.000    0.033    0.000 templates.py:900(_get_target_registry)
     1338    0.002    0.000    0.032    0.000 lowering.py:1567(decref)
        1    0.000    0.000    0.032    0.032 colors.py:1(<module>)
     1114    0.005    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      216    0.000    0.000    0.031    0.000 errors.py:670(__init__)
        1    0.000    0.000    0.031    0.031 _sketches.py:1(<module>)
      245    0.000    0.000    0.031    0.000 templates.py:1044(__init__)
     3022    0.003    0.000    0.031    0.000 value.py:206(is_declaration)
     6012    0.009    0.000    0.031    0.000 ansitowin32.py:81(__init__)
       48    0.000    0.000    0.030    0.001 typed_passes.py:555(run_pass)
        2    0.000    0.000    0.030    0.015 _base.py:1(<module>)
       48    0.000    0.000    0.030    0.001 ir_utils.py:2215(check_and_legalize_ir)
      144    0.000    0.000    0.030    0.000 postproc.py:158(_insert_var_dels)
     1524    0.001    0.000    0.030    0.000 inspect.py:3278(signature)
121600/119104    0.011    0.000    0.030    0.000 {built-in method builtins.repr}
      144    0.009    0.000    0.030    0.000 postproc.py:179(_patch_var_dels)
      238    0.000    0.000    0.030    0.000 templates.py:1090(_init_once)
      116    0.001    0.000    0.030    0.000 callconv.py:871(call_function)
     1111    0.001    0.000    0.030    0.000 lowering.py:1465(storevar)
46141/45836    0.013    0.000    0.030    0.000 _utils.py:54(get_reference)
     1363    0.000    0.000    0.030    0.000 context.py:384(decref)
     1524    0.001    0.000    0.029    0.000 inspect.py:3024(from_callable)
      213    0.001    0.000    0.029    0.000 cgutils.py:99(__init__)
       48    0.000    0.000    0.029    0.001 lowering.py:29(__init__)
        1    0.000    0.000    0.029    0.029 charseq.py:1(<module>)
       48    0.000    0.000    0.029    0.001 interpreter.py:1412(post_process)
1597/1531    0.004    0.000    0.029    0.000 inspect.py:2428(_signature_from_callable)
      848    0.008    0.000    0.029    0.000 numpy_support.py:357(ufunc_find_matching_loop)
       48    0.000    0.000    0.029    0.001 compiler.py:542(define_pipelines)
      476    0.001    0.000    0.028    0.000 context.py:700(load_additional_registries)
       48    0.000    0.000    0.028    0.001 compiler.py:565(define_nopython_pipeline)
      149    0.001    0.000    0.028    0.000 ir.py:111(strformat)
        1    0.000    0.000    0.027    0.027 cpu.py:1(<module>)
        2    0.000    0.000    0.027    0.013 unicode.py:1(<module>)
        4    0.000    0.000    0.027    0.007 lowering.py:288(create_cpython_wrapper)
        4    0.000    0.000    0.027    0.007 cpu.py:181(create_cpython_wrapper)
        1    0.000    0.000    0.027    0.027 patches.py:1(<module>)
      118    0.000    0.000    0.027    0.000 ir.py:601(infer_constant)
     4607    0.008    0.000    0.026    0.000 context.py:542(_rate_arguments)
       33    0.001    0.000    0.026    0.001 callconv.py:122(raise_error)
    45530    0.013    0.000    0.026    0.000 event.py:100(__init__)
     2995    0.009    0.000    0.026    0.000 utils.py:316(order_by_target_specificity)
56187/48229    0.016    0.000    0.025    0.000 abstract.py:121(__hash__)
       44    0.000    0.000    0.025    0.001 imputils.py:192(imp)
     1468    0.001    0.000    0.025    0.000 base.py:42(find)
       48    0.000    0.000    0.025    0.001 lowering.py:357(init)
        1    0.000    0.000    0.025    0.025 axes3d.py:1(<module>)
        2    0.000    0.000    0.025    0.012 builtins.py:1(<module>)
       48    0.002    0.000    0.025    0.001 lowering.py:373(_find_singly_assigned_variable)
      192    0.000    0.000    0.024    0.000 compiler_machinery.py:246(finalize)
        1    0.000    0.000    0.024    0.024 special.py:1(<module>)
     4352    0.004    0.000    0.024    0.000 builder.py:967(extract_value)
       48    0.000    0.000    0.024    0.001 typed_passes.py:881(run_pass)
      192    0.003    0.000    0.024    0.000 compiler_machinery.py:370(dependency_analysis)
      371    0.000    0.000    0.024    0.000 __init__.py:634(entry_points)
     1020    0.001    0.000    0.023    0.000 context.py:263(resolve_getattr)
      187    0.002    0.000    0.023    0.000 module.py:167(link_in)
    34144    0.005    0.000    0.023    0.000 templates.py:1300(new_registrations)
        4    0.000    0.000    0.023    0.006 context.py:1(<module>)
      753    0.002    0.000    0.023    0.000 cgutils.py:362(alloca_once)
        3    0.001    0.000    0.023    0.008 core.py:1(<module>)
       48    0.000    0.000    0.023    0.000 typeinfer.py:1036(build_constraint)
     1289    0.001    0.000    0.023    0.000 typeinfer.py:1384(constrain_statement)
      114    0.000    0.000    0.023    0.000 __init__.py:225(compile)
4090/4059    0.004    0.000    0.023    0.000 abstract.py:61(__call__)
15456/13821    0.005    0.000    0.022    0.000 contextlib.py:141(__exit__)
      449    0.001    0.000    0.022    0.000 base.py:49(_find)
9426/9306    0.003    0.000    0.022    0.000 manager.py:29(lookup)
      432    0.001    0.000    0.022    0.000 postproc.py:46(livemap)
     1085    0.001    0.000    0.022    0.000 typeinfer.py:1453(typeof_assign)
